schema_name,document_type,schema_strata_name,base_path
transaction,transaction,answer_et_al,/claim-rural-payments
transaction,transaction,answer_et_al,/employers-find-apprenticeship-training
answer,answer,answer_et_al,/register-as-an-overseas-company
answer,answer,answer_et_al,/nominate-community-payback-project
licence,licence,answer_et_al,/nurse-agency-registration-scotland
answer,answer,answer_et_al,/electric-bike-rules
answer,answer,answer_et_al,/complain-judge-magistrate-tribunal-coroner
answer,answer,answer_et_al,/register-farm-vehicle
answer,answer,answer_et_al,/get-your-air-conditioning-system-inspected
answer,answer,answer_et_al,/post-traumatic-stress-disorder-and-driving
answer,answer,answer_et_al,/after-flood
answer,answer,answer_et_al,/complain-about-a-driving-instructor
answer,answer,answer_et_al,/expenses-benefits-items-for-disabled-employees
licence,licence,answer_et_al,/market-operators-licence-scotland
licence,licence,answer_et_al,/knife-dealers-licence-scotland
licence,licence,answer_et_al,/pollution-data-reporting-northern-ireland
answer,answer,answer_et_al,/brain-tumour-and-driving
licence,licence,answer_et_al,/wildlife-licence-northern-ireland
transaction,transaction,answer_et_al,/co2-and-vehicle-tax-tools
answer,answer,answer_et_al,/capital-allowances-sell-asset
answer,answer,answer_et_al,/career-breaks
answer,answer,answer_et_al,/pay-challenge-fine-environmental-offence
answer,answer,answer_et_al,/expenses-and-benefits-coronavirus-covid-19-tests-and-equipment
answer,answer,answer_et_al,/independent-livingfund
answer,answer,answer_et_al,/employee-lose-sponsor-licence
licence,licence,answer_et_al,/specific-risk-material-authorisation-england
answer,answer,answer_et_al,/report-concern-about-attorney-deputy-guardian
licence,licence,answer_et_al,/pleasure-boats-licence
answer,answer,answer_et_al,/wolff-parkinson-white-syndrome-and-driving
transaction,transaction,answer_et_al,/data-protection-register-notify-ico-personal-data
transaction,transaction,answer_et_al,/apply-renew-passport
answer,answer,answer_et_al,/common-land-village-greens
answer,answer,answer_et_al,/check-if-property-is-affected-by-coal-mining
answer,answer,answer_et_al,/lifetime-isa
answer,answer,answer_et_al,/renew-registered-design
